# t,gyro,accel,wheel,vision_kappa,gps_kappa,vision_conf,gps_conf,abs_flag

0.00,0.05,0.3,10.0,0.012,0.011,0.9,0.8,0
0.05,0.06,0.32,10.1,0.013,0.012,0.9,0.8,0
0.10,0.07,0.34,10.2,0.014,0.013,0.9,0.8,0
0.15,0.09,0.40,10.5,0.018,0.014,0.85,0.8,0
0.20,0.11,0.45,10.7,0.022,0.015,0.85,0.75,0

# Vision dropout
0.25,0.12,0.48,10.8,-1,0.016,0.0,0.75,0

0.30,0.15,0.50,10.9,-1,0.017,0.0,0.75,0
0.35,0.18,0.52,11.0,0.030,-1,0.8,0.0,0

# Slip event (wheel mismatch + high accel)
0.40,0.50,4.00,10.0,0.080,0.081,0.9,0.9,1
0.45,0.55,4.10,9.8,0.082,0.081,0.9,0.9,1
0.50,0.60,4.20,9.6,0.083,0.082,0.9,0.9,1

# Recovery
0.55,0.20,1.00,10.5,0.030,0.029,0.7,0.7,0
0.60,0.10,0.40,10.8,0.015,0.014,0.7,0.7,0
0.65,0.05,0.20,10.9,0.010,0.009,0.7,0.7,0
